Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-03-01T00:00+01:00;2016-04-01T00:00+02:00;2016;3;6404;5388;7420;98,5;31;31;0;188;97,1;4;5687;529;243;196;29;60;55;5
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-03-01T00:00+01:00;2016-04-01T00:00+02:00;2016;3;7213;6048;8378;98,5;31;31;0;213;97,0;Totalt i retning Lade;6432;568;263;209;32;64;59;5
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-03-01T00:00+01:00;2016-04-01T00:00+02:00;2016;3;7350;6160;8540;98,5;31;31;0;17;99,8;Totalt i retning Leangen;6841;492;214;210;21;49;47;2
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-03-01T00:00+01:00;2016-04-01T00:00+02:00;2016;3;14563;12208;16918;98,5;31;31;0;230;98,4;Totalt;13273;1060;476;419;52;112;105;7
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-04-01T00:00+02:00;2016-05-01T00:00+02:00;2016;4;874;770;978;92,1;30;28;2;0;100,0;1;837;37;18;16;1;2;2;0
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-04-01T00:00+02:00;2016-05-01T00:00+02:00;2016;4;949;797;1101;92,1;30;28;2;49;94,8;2;848;52;24;20;4;5;4;1
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-04-01T00:00+02:00;2016-05-01T00:00+02:00;2016;4;7648;6815;8481;92,1;30;28;2;27;99,6;3;7035;586;231;276;23;57;55;2
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-04-01T00:00+02:00;2016-05-01T00:00+02:00;2016;4;7382;6603;8161;92,1;30;28;2;227;96,9;4;6496;660;286;261;38;74;68;6
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-04-01T00:00+02:00;2016-05-01T00:00+02:00;2016;4;8330;7431;9229;92,1;30;28;2;275;96,7;Totalt i retning Lade;7344;711;310;281;42;79;72;7
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-04-01T00:00+02:00;2016-05-01T00:00+02:00;2016;4;8523;7588;9458;92,1;30;28;2;28;99,7;Totalt i retning Leangen;7872;623;248;293;24;59;57;2
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-04-01T00:00+02:00;2016-05-01T00:00+02:00;2016;4;16853;15018;18688;92,1;30;28;2;303;98,2;Totalt;15216;1335;558;574;66;136;128;8
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-05-01T00:00+02:00;2016-06-01T00:00+02:00;2016;5;828;683;973;99,6;31;31;0;0;100,0;1;789;39;17;19;1;1;1;0
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-05-01T00:00+02:00;2016-06-01T00:00+02:00;2016;5;910;718;1102;99,6;31;31;0;47;94,8;2;812;51;22;21;3;5;4;1
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-05-01T00:00+02:00;2016-06-01T00:00+02:00;2016;5;7278;6116;8440;99,6;31;31;0;21;99,7;3;6676;581;214;295;21;52;50;2
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-05-01T00:00+02:00;2016-06-01T00:00+02:00;2016;5;6947;5879;8015;99,6;31;31;0;209;97,0;4;6099;638;270;275;31;62;57;5
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-05-01T00:00+02:00;2016-06-01T00:00+02:00;2016;5;7856;6608;9104;99,6;31;31;0;255;96,8;Totalt i retning Lade;6912;689;292;296;35;67;61;6
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-05-01T00:00+02:00;2016-06-01T00:00+02:00;2016;5;8107;6802;9412;99,6;31;31;0;22;99,7;Totalt i retning Leangen;7465;620;231;314;22;53;51;2
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-05-01T00:00+02:00;2016-06-01T00:00+02:00;2016;5;15963;13412;18514;99,6;31;31;0;278;98,3;Totalt;14377;1309;523;610;57;119;112;7
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-06-01T00:00+02:00;2016-07-01T00:00+02:00;2016;6;968;852;1084;99,6;30;30;0;0;100,0;1;920;48;23;21;2;2;2;0
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-06-01T00:00+02:00;2016-07-01T00:00+02:00;2016;6;1016;872;1160;99,6;30;30;0;43;95,8;2;912;61;26;26;4;5;4;1
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-06-01T00:00+02:00;2016-07-01T00:00+02:00;2016;6;8151;7325;8977;99,6;30;30;0;34;99,6;3;7432;685;247;346;35;56;54;2
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-06-01T00:00+02:00;2016-07-01T00:00+02:00;2016;6;7942;7158;8726;99,6;30;30;0;261;96,7;4;6924;757;317;324;42;73;67;6
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-06-01T00:00+02:00;2016-07-01T00:00+02:00;2016;6;8956;8042;9870;99,6;30;30;0;302;96,6;Totalt i retning Lade;7836;818;343;351;46;78;71;7
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-06-01T00:00+02:00;2016-07-01T00:00+02:00;2016;6;9120;8180;10060;99,6;30;30;0;35;99,6;Totalt i retning Leangen;8352;733;270;368;36;59;57;2
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-06-01T00:00+02:00;2016-07-01T00:00+02:00;2016;6;18076;16222;19930;99,6;30;30;0;337;98,1;Totalt;16188;1551;613;718;82;138;128;10
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-07-01T00:00+02:00;2016-08-01T00:00+02:00;2016;7;746;644;848;99,8;31;31;0;1;99,9;1;706;40;17;19;1;2;2;0
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-07-01T00:00+02:00;2016-08-01T00:00+02:00;2016;7;874;734;1014;99,8;31;31;0;27;96,9;2;792;55;24;24;3;4;4;0
